#Types Before Cut: 11091
#Types After Cut: 9691
#Search Hits: 0
242	13	34.336	спать
243	13	34.336	твои
244	13	34.336	учились
245	20	33.682	другому
246	17	33.356	пошла
247	40	33.295	делать
248	15	32.758	будешь
249	15	32.758	понял
250	15	32.758	поняла
251	34	32.433	голос
252	24	32.369	принципе
253	18	32.180	дом
254	49	31.797	всегда
255	12	31.695	берег
256	12	31.695	весело
257	12	31.695	детстве
258	12	31.695	квартиру
259	12	31.695	круто
260	12	31.695	поговорить
261	12	31.695	пятьдесят
262	12	31.695	смешно
263	19	31.414	час
264	113	31.264	даже
265	16	30.944	школа
266	16	30.944	языке
267	20	30.910	дочка
268	21	30.588	хоть
269	21	30.588	язык
270	36	30.467	две
271	14	30.250	домой
272	17	29.856	давайте
273	28	29.183	таки
274	11	29.053	inan
275	11	29.053	давали
276	11	29.053	девочки
277	11	29.053	девяносто
278	11	29.053	здорово
279	11	29.053	знала
280	11	29.053	кадра
281	11	29.053	классно
282	11	29.053	кхм
283	11	29.053	понимаешь
284	11	29.053	расскажу
285	11	29.053	рассказчик
286	11	29.053	смеётся
287	11	29.053	смотри
288	11	29.053	соседка
289	11	29.053	училась
290	11	29.053	холодно
291	26	28.728	самое
292	15	28.545	играть
293	21	28.323	жить
294	156	28.225	или
295	13	27.752	концерт
296	13	27.752	семья
297	13	27.752	ходить
298	13	27.752	честно
299	26	27.098	смысле
300	17	26.935	моей
301	10	26.412	бывают
302	10	26.412	вкус
303	10	26.412	восемьдесят
304	10	26.412	дед
305	10	26.412	дедушка
306	10	26.412	ехать
307	10	26.412	забыл
308	10	26.412	иии
309	10	26.412	картинка
310	10	26.412	кашель
311	10	26.412	нуу
312	10	26.412	озеро
313	10	26.412	пол
314	10	26.412	прикольно
315	10	26.412	ребята
316	10	26.412	своё
317	10	26.412	слушай
318	10	26.412	смешок
319	10	26.412	собака
320	10	26.412	ушёл
321	19	26.356	младший
322	19	26.356	н
323	22	26.346	какую
324	22	26.346	часов
325	14	26.163	собственно
326	27	25.882	моя
327	12	25.265	вдруг
328	12	25.265	делаю
329	12	25.265	купил
330	12	25.265	любят
331	15	25.261	ж
332	16	24.728	видео
333	16	24.728	читать
334	50	24.489	день
335	20	24.290	друг
336	20	24.290	места
337	18	24.277	тему
338	19	24.242	слово
339	29	23.954	старший
340	13	23.798	какими
341	13	23.798	маленький
342	13	23.798	смотреть
343	9	23.771	n
344	9	23.771	ар
345	9	23.771	видишь
346	9	23.771	грустный
347	9	23.771	двенадцать
348	9	23.771	двести
349	9	23.771	кошки
350	9	23.771	папа
351	9	23.771	переехали
352	9	23.771	подожди
353	9	23.771	смесь
354	9	23.771	танцами
355	9	23.771	твой
356	9	23.771	учителя
357	9	23.771	чай
358	9	23.771	эмм
359	14	22.997	d
360	14	22.997	вещи
361	14	22.997	мои
362	14	22.997	хотелось
363	11	22.790	квартире
364	146	22.706	был
365	21	22.691	долго
366	28	22.334	совсем
367	16	22.312	девять
368	18	22.242	понимаю
369	17	22.225	кем
370	27	21.922	каждый
371	29	21.610	сама
372	39	21.517	людей
373	12	21.454	нравятся
374	35	21.353	четыре
375	8	21.130	acc
376	8	21.130	komm
377	8	21.130	nom
378	8	21.130	ааa
379	8	21.130	английский
380	8	21.130	брови
381	8	21.130	вертолет
382	8	21.130	говорящийа
383	8	21.130	говорящийб
384	8	21.130	грустно
385	8	21.130	делаешь
386	8	21.130	егэ
387	8	21.130	замечательно
388	8	21.130	звук
389	8	21.130	иду
390	8	21.130	интересного
391	8	21.130	колесико
392	8	21.130	любишь
393	8	21.130	лёва
394	8	21.130	мамой
395	8	21.130	мемы
396	8	21.130	моих
397	8	21.130	надя
398	8	21.130	неудобно
399	8	21.130	никит
400	8	21.130	одиннадцать
401	8	21.130	поехал
402	8	21.130	прихожу
403	8	21.130	смотрел
404	8	21.130	смотрела
405	8	21.130	студентов
406	8	21.130	типо
